

Z:.73770e-03 [ft], TEMP:.82000+03 [degR], H:.25963+03 [BTU/lb], WFV:   .93472-01
Z:.73893e-03 [ft], TEMP:.82000+03 [degR], H:.30663+03 [BTU/lb], WFV:   .18694-00
Z:.74016e-03 [ft], TEMP:.82000+03 [degR], H:.35363+03 [BTU/lb], WFV:   .28041-00
Z:.74138e-03 [ft], TEMP:.82000+03 [degR], H:.40064+03 [BTU/lb], WFV:   .37389-00
Z:.74261e-03 [ft], TEMP:.82000+03 [degR], H:.44764+03 [BTU/lb], WFV:   .46736-00
Z:.74384e-03 [ft], TEMP:.82000+03 [degR], H:.49464+03 [BTU/lb], WFV:   .56083-00
Z:.74506e-03 [ft], TEMP:.82000+03 [degR], H:.54164+03 [BTU/lb], WFV:   .65430-00
Z:.74629e-03 [ft], TEMP:.82000+03 [degR], H:.58865+03 [BTU/lb], WFV:   .74777-00
Z:.74751e-03 [ft], TEMP:.82000+03 [degR], H:.63565+03 [BTU/lb], WFV:   .84124-00
Z:.74874e-03 [ft], TEMP:.82000+03 [degR], H:.68265+03 [BTU/lb], WFV:   .93472-00
Z:.75082e-03 [ft], TEMP:.82000+03 [degR], H:.71548+03 [BTU/lb], WFV:   .10000+01


